m/z,Jant_AD80_1,Jant_AD80_2,Jant_AD80_3,Serratia_PRI_1,Serratia_PRI_2,Serratia_PRI_3,TSB-agar__1,TSB-agar__2,TSB-agar__3
182.9546733,0.003055568,0.006864554,0.008641862,0.01085224,0.003452929,0.001799077,0.002609864,0.000134369,0.019099533
183.0221541,0.003782285,0.007238683,0.00472754,0.006530456,0.004018008,0.001963766,0.004376834,0.000572617,0.011568479
183.976453,0.000667069,0.001657919,0.001697213,0.002528215,0.000550277,0.000770879,0.001793665,0.000435418,0.00023376
184.9511044,0.00191001,0.01070601,0.005939565,0.007870927,0.001700814,0.000762487,0.000867105,0.000455243,0.010124976
185.0521073,0.003787993,0.009046745,0.010472861,0.006126499,0.002851699,0.001024685,0.005139259,0.000444526,0.005618665
185.9771059,0.001185464,0.017543477,0.019011538,0.006953363,0.002962655,0.001998951,0.000513209,0.000712974,0.012822805
187.0590733,0.00355358,0.000474959,0.000607848,0.00032986,0.003032226,0.001185073,0.004341729,0.000879988,0.015916689
187.8366358,0.000773125,0.010083942,0.007094403,0.010307319,0.001832477,0.00114044,0.000812519,0.001873706,0.000774165
188.5046834,0.001901235,0.008332008,0.008396129,0.008107428,0.000796936,0.002692058,0.000861806,0.00210824,0.000604713
188.8378323,0.000849565,0.003023849,0.004919607,0.009157315,0.000923499,0.002074719,0.002095643,0.0022252,0.000631277
190.7367525,0.000222499,0.001541821,0.004945237,0.012244841,0.000305459,0.000536656,0.001520031,0.003586572,0.00021582
191.0217659,0.001025555,0.000372493,0.000206882,0.00106318,0.001396868,0.000482441,0.004344807,0.004037844,0.016725244
192.6341511,0.000380918,0.004234898,0.010146149,0.004291841,0.000464108,0.000618968,0.000682529,0.003715135,0.000139591
192.7397924,0.000197056,0.008001087,0.010462049,0.00870242,0.000480624,0.000678286,0.001264399,0.003701868,0.000271119
193.0643704,0.002347296,0.000530267,0.000347847,0.000597011,0.002537463,0.000617969,0.002775352,0.003661107,0.01127584
193.829385,0.000297503,0.003097309,0.003394368,0.00029211,5.35E-05,0.001956946,0.000698909,0.00299943,0.002753527
194.5821034,0.000321499,0.005266171,0.004932034,0.020804054,0.000681343,0.00043839,0.000484964,0.002786868,0.000139857
194.7397554,0.001463656,0.012344148,0.013993309,0.00558488,0.000720673,0.000633096,0.002033141,0.002742348,2.21E-05
195.0598841,0.002976655,0.000522082,0.000306744,0.000278952,0.002301278,0.000783113,0.003827721,0.00081773,0.00522852
195.6379985,1.10E-05,0.005548853,0.002310275,0.002949411,0.000138071,0.0013302,0.000480105,0.000827136,0.000633557
196.3948783,0.001182803,0.002974493,0.003260093,0.01046153,0.000859865,0.00167532,0.001072876,0.000795004,0.000588406
196.6271791,0.001309848,0.012312442,0.015101987,0.007015046,0.001373209,0.001099199,0.001250157,0.000785141,0.00064292
197.0489486,0.002804815,0.000371097,0.000311982,0.000218779,0.002079372,0.000628707,0.00349381,0.000507349,0.004339284
198.3349607,0.000366018,0.001746234,0.001931798,0.00796916,0.000425681,0.00177196,0.00043128,0.000473544,0.000314273
198.5608816,0.00061235,0.017949288,0.006421449,0.008445453,9.25E-05,5.85E-05,0.000622301,0.000491643,0.000347335
198.6557385,0.001078202,0.009357389,0.005467001,0.013768766,0.00109535,0.000221074,0.00065505,0.000499243,0.000484648
199.0840608,0.004263075,0.000695977,0.000808218,0.000359682,0.003291191,0.000656061,0.008079335,0.003109949,0.014088749
199.5522324,0.001035493,0.019245876,0.019847331,0.005713906,0.000263376,0.000699238,0,0.001876669,0.000835215
201.0569099,0.002415495,0.000445749,0.00022083,0.00074804,0.002188855,0.00216275,0.00375522,0.001623393,0.007573427
