"","ColTer331_1","ColTer331_2","ColTer331_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3"
"group","ColTer331","ColTer331","ColTer331","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","SerratiaPRI","SerratiaPRI","SerratiaPRI"
"197.1/53","7230.03101196289","65746.6369732666","12864.7688007231","111800.794587547","103763.857852609","209257.031590579","17799.2540859375","98354.3736196831","82345.6104614258","50008.2827227809","126352.372742983","47535.5116266865"
"200.1/24","39188.688662974","0","11499.7116446762","429497.28589938","286785.517899103","437167.171453462","50047.4517842285","21448.863307196","75637.3832443237","59937.3026990228","200072.504944106","278528.37078551"
"200.2/86","0","0","0","5119.12335980087","14046.8999633789","0","74385.4577400984","0","52359.6065976563","30615.4114876483","0","29087.0292219319"
"201.1/51","26210.0200180889","47574.2764137817","3902.13552800283","26453.4181530755","25481.4692353075","18052.8046256271","49323.0849434428","25239.1782924101","32662.4074124146","55522.9935746765","45387.2635766275","19006.2499665704"
"202.1/24","2160.57140328536","460.217535391462","1549.11109842004","88807.104913376","17677.0637458169","55446.8713996932","112398.280558036","41692.2696744865","260871.688571721","173797.276500124","521857.125009798","263645.392641704"
"203.1/41","26149.5460766618","49490.6152206743","2611.5452742114","22196.9853477025","5941.23088308808","14900.0992408496","38979.2372959188","8907.44980915061","10230.9381881058","205017.606625976","50431.9223388412","7181.16846264649"
"207.1/38","4970.20715112305","123823.365410506","57207.9396739049","431140.35583617","454939.74868918","646173.283052444","313057.951251856","654394.146795362","129636.257513898","180316.239806665","653822.33535831","195007.175697215"
"208.8/81","11245.6405865221","0","0","353610.819570257","469984.600125683","20248.7690200245","0","0","0","0","345277.97410164","87232.2532891847"
"209/37","434244.980278068","383892.110991211","107428.140930536","740767.523529629","233548.049812844","278146.463209925","800812.707148438","16762.3500585791","718855.178786621","977482.697734374","16161.7448055469","123865.017450964"
"210/44","15599.4811617499","13423.2035809234","820.502785516437","17604.818722669","0","2279.37443677718","14349.4492333984","0","32572.6224170685","14828.7853845215","9552.95815245062","0"
"212.8/51","0","0","0","205973.71471663","382101.394338393","9349.77756934483","271529.330372205","0","1496.4129116834","0","122113.641476646","53752.5758627113"
