"","BurAD24_1","BurAD24_2","BurAD24_3","ColTer10_1","ColTer10_2","ColTer10_3","ColTer282_1","ColTer282_2","ColTer282_3","ColTer291_1","ColTer291_2","ColTer291_3","ColTer331_1","ColTer331_2","ColTer331_3","ColTer6_1","ColTer6_2","ColTer6_3","ColTer91_1","ColTer91_2","ColTer91_3","DyAD56_1","DyAD56_2","DyAD56_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3","TSB-agar_1","TSB-agar_2","TSB-agar_3"
"group","BurAD24","BurAD24","BurAD24","ColTer10","ColTer10","ColTer10","ColTer282","ColTer282","ColTer282","ColTer291","ColTer291","ColTer291","ColTer331","ColTer331","ColTer331","ColTer6","ColTer6","ColTer6","ColTer91","ColTer91","ColTer91","DyAD56","DyAD56","DyAD56","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI","TSB","TSB","TSB"
"219.1/56","0","79308.8030866921","4703.17005866496","73528.9845422407","235411.632183986","93677.7448175081","179936.352208902","18634.0110567212","71922.8444475174","29123.5468168259","9188.43370561177","82481.4735546947","3039.05366803519","24376.9336403708","9997.66985829175","0","99105.9931640624","15199.9227597656","172893.194836229","47541.7058962286","4778.97126866877","68282.6884302764","34645.304915905","169952.83490257","46963.600777785","301502.540754586","253782.568045735","172182.939825957","0","175143.151231937","178773.12014021","104239.968455084","23752.3306373209","100556.154042904","32474.6711666286","16138.7928024409","109185.28464023","100988.113679528","59083.9465001076"
"221.2/98","17417.1551644921","25910.745059751","9360.87141778564","21652.3893144292","0","13647.5530942261","29824.0913470313","0","16597.7723194845","0","0","0","5152.9427620545","23776.5190291822","41516.1007850409","4464.69857676234","22740.1576286647","28742.4505615857","0","0","4577.11142283343","10642.1947576684","3928.73241093749","66380.1643359373","30888.2987208984","0","315.152844366152","98652.4627384663","16545.8247589752","0","6545.06380870342","0","0","23380.6177936822","23092.9200815171","35258.2359664769","35913.2216435","17241.4452762504","0"
"223.2/80","5014.9667729338","9898.77399935041","51328.614705957","35350.4216485796","0","23376.2134183198","0","0","99421.6090830522","0","0","19730.1377145325","2097.98257839174","0","49976.975886176","4546.87303019422","10366.3965234375","6018.20605278322","25260.4272520372","0","7803.66265530884","29808.6562175334","24904.0751703296","95023.2137343748","75442.2816884765","0","0","248550.251810968","0","0","0","2077.20325605571","0","34428.5909296874","11859.981262207","18657.1833252161","16891.9370878488","22383.7868459895","23066.1064288957"
"226.2/2","321707.927208355","379742.713124739","347988.508328425","55447.6090949502","1142051.91706133","1299307.8036508","1123860.34611254","632775.879686823","8571.92221840261","849147.817561753","504243.846348337","653795.100742744","717010.687697329","1320798.77744916","818550.019794596","575724.473729442","660925.990889037","79397.6784659909","1053521.60796897","1031490.7964673","16069.9700058102","397202.994217227","46557.8882172309","1104519.66543991","463141.860712439","465680.020014502","500904.394756847","1092280.10466159","538528.765710812","326133.963954264","767884.626446645","15023.1231793408","1507235.42405018","48145.8012843231","468797.20223772","235662.142298397","601900.877244095","1173829.91395113","864365.618825551"
"235.1/76","3613.67629858032","0","5398.97347354889","32769.4617638528","20356.0492863928","0","11072.6474301182","66678.5892227888","85904.8305850267","0","7760.42405705278","19542.1698612124","5178.38169883192","54844.5450848341","130890.812367931","16140.4612299152","28318.8386058748","14435.5672654297","26352.3934620045","60003.7973158591","2123.27943193913","6403.06074480101","14334.3312782227","94157.0016093748","72086.7853312671","18954.5947339147","0","169121.780356407","586.905184684694","144339.278141439","0","14306.7773165364","300934.721768965","11832.2775841593","36477.938588272","29449.3460167968","121970.164882481","0","0"
"236.2/27","0","0","22771.6331586658","24808.7878460985","0","0","18374.8760477595","0","12323.4027433106","0","18012.8583243936","0","0","0","1878.83719356405","16050.2291544564","279970.98477459","28639.7870188917","11921.0732479052","0","2100.38658167124","2801.20371078125","15803.9792747461","19622.1395169305","20724.8280180931","0","0","0","0","0","1686.13687652512","22167.9192423403","0","10585.0186209716","86151.8423671149","55525.3082574904","0","0","0"
"237.1/66","3469.50585376855","110706.098716409","25190.1877455098","134069.467299424","279594.724227788","121556.731458369","46546.6741320854","62548.4514210871","413705.707984071","66033.0942348298","73927.412477468","168190.020391485","3603.6084292531","153722.412832627","67339.0067600529","47548.6197896034","229767.013467073","5371.58879391275","50145.2128277328","81140.9133681151","29813.7007411967","13270.4261903467","70756.7613294279","248758.583326541","86828.9993159375","152932.388563718","336352.269513993","237650.524062291","669.700035712682","27005.8076793026","220280.736634098","119059.54566063","336171.760028215","66328.8225527832","235950.442937315","166830.03506474","53514.8201686523","212053.043777452","78641.0222635157"
"245.1/57","20438.2079262733","15619.6648819301","138319.256561991","81880.2653005641","66058.8399023438","72623.476171875","377170.794811195","20721.6994057031","44909.8916625976","68432.7719808407","24032.8718713813","295290.893221536","33858.2128665174","15760.7753648903","101846.267574334","77436.4191756079","451986.769872281","10810.157421875","122156.609511328","370556.261132786","15150.8235388808","23096.4756016113","42036.7048060484","106934.348786907","176225.500076928","12753.8744957075","0","84268.5078377631","1381.25976987959","32328.0581911477","18953.2891210243","30175.416154773","23109.8135283589","20108.4406932943","32302.1437060639","133801.354833555","505372.620910563","47542.8182783203","1365301.78953838"
"251.2/63","3382.14031759142","2936.59038385376","90909.2475221146","5571.23048771471","23602.1267668361","35360.5644887655","3271.31304940805","14313.5050183445","181641.985642917","0","33880.1075092988","27559.6424670104","6617.49283308134","12033.6975430407","54251.3011577401","3269.84492744207","24822.1999445517","11382.0999389458","9249.05389014632","50549.5695487119","3243.63723888045","17682.2589241751","4028.47263519531","39414.0393046408","69940.1417007387","48586.3591245955","128753.367895408","37227.1908314973","3779.70736085847","78396.3295877088","65689.7153645247","16254.2071326172","24719.8745805681","50047.5026495804","22600.1377019288","18797.8561598416","160251.707600046","40610.1807557859","50564.6522606313"
"253.1/45","0","38090.2823747993","0","10972.105238155","19341.6512674078","94059.398693203","31819.8784946185","38946.4233867427","33320.4085030721","46386.4906578753","28147.6803266149","15491.863487517","4991.48593740351","56554.6722936273","16891.5183637409","15420.0922213172","0","3763.40665503661","49331.4030526578","84466.0312415846","0","13320.6254990332","25829.1189511719","44319.4498832551","20577.0776911259","21662.6648322344","4721.60061996389","15460.2537324905","0","23050.9859821916","11460.6177668588","13225.750732312","28835.8015683757","40547.0189799795","0","6822.94855835102","33808.1491460848","0","27131.1670044959"
