"","ColTer331_1","ColTer331_2","ColTer331_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3"
"group","ColTer331","ColTer331","ColTer331","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI"
"269.3/26","69901.1449286272","368047.649634487","151874.108739603","774836.702807063","533659.205857318","649797.108820211","60584.4182412815","33645.2965198893","329715.763756775","1072433.65034962","865698.653472174","1469142.96076317","299702.765795884","1629907.05297819","502560.890009267"
"270.1/1","966.531630551355","0","0","0","1035.77460412091","0","82871.6828418823","37870.8659570435","0","2485.39978701777","1778.20939212233","5279.51367333785","0","0","0"
"272.8/52","0","0","0","57631.2546733155","79663.0572361007","1411.49792264455","77168.6478622821","4090.64357694145","8924.43905859375","34662.1397268372","84035.9613722563","32576.8294506334","0","11290.2425990809","10382.8002142857"
"277.2/33","61643.8989568921","52547.5609929548","29141.1728563003","114961.752271028","100789.616520792","164371.822749818","112746.190171252","846588.902895689","51601.9157717494","155901.673773321","201417.853738281","147770.791600571","73452.4902641252","129833.323464227","77253.4772281471"
"279.2/16","53170.4508758559","0","487195.69958337","114384.655555003","103598.759383746","47912.7637871484","56842.8243944133","29665.6594165039","73200.2485436198","141555.019286763","184447.701729374","198586.05462645","199948.1355513","168492.205719357","291225.967479637"
"281.2/72","18241.0996048553","20184.8228955325","10903.3279635338","29198.7250192037","36320.5364406807","51716.0501494887","30525.297991211","17019.1570128125","17503.7887996013","43438.5282598464","60805.5865683045","62471.2625843883","38573.7854610868","36010.0001563777","20568.8097292343"
"283.3/63","857009.741250001","321336.73893019","825023.412805518","749711.402913285","387879.937084377","510836.795836364","78794.3961365072","809461.466679115","79521.4889782841","550731.113226322","979108.757303515","906594.539668666","79791.6659537864","1659706.60270214","397168.909896165"
"285.2/37","19384.8275667675","68335.9464419323","13111.1457755781","242663.193844865","168285.327344018","112277.685784746","13998.4375170899","328528.696550317","43659.3656631208","363827.36029758","252739.801924382","335329.994291876","74724.6598208044","371348.681404448","95846.7391758878"
"286.8/52","0","0","0","44755.6419796509","54489.3741380344","0","78701.8684957032","0","16154.5827848307","9067.98336253439","54029.0535689872","6452.35447676278","0","0","11819.6923331112"
"289.1/67","8390.30092163085","0","0","43948.1060978202","13732.8965798132","24423.0663224235","13364.2932573242","17731.3929082031","0","60035.2025920182","57238.8371399107","82133.7491101573","19318.5617762432","88278.1926286221","5588.49291900638"
"291.2/37","13592.5316671973","25472.8813831968","39390.1553085968","140886.824188113","50509.8441034903","71789.4046253756","15144.7883982617","600953.387783003","5749.10144101919","70176.7718554296","28333.4850085547","35548.1034965918","57983.289680918","33115.6319226172","40352.9666504636"
