"","BurAD24_1","BurAD24_2","BurAD24_3","ColTer10_1","ColTer10_2","ColTer10_3","ColTer282_1","ColTer282_2","ColTer282_3","ColTer291_1","ColTer291_2","ColTer291_3","ColTer331_1","ColTer331_2","ColTer331_3","ColTer6_1","ColTer6_2","ColTer6_3","ColTer91_1","ColTer91_2","ColTer91_3","DyAD56_1","DyAD56_2","DyAD56_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3","TSB-agar_1","TSB-agar_2","TSB-agar_3"
"group","BurAD24","BurAD24","BurAD24","ColTer10","ColTer10","ColTer10","ColTer282","ColTer282","ColTer282","ColTer291","ColTer291","ColTer291","ColTer331","ColTer331","ColTer331","ColTer6","ColTer6","ColTer6","ColTer91","ColTer91","ColTer91","DyAD56","DyAD56","DyAD56","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI","TSB","TSB","TSB"
"340.2/38","870437.929345101","155622.903088565","117535.833482871","1150598.68715186","2016007.93917294","0","459432.343448776","106975.48594764","44182.3247860962","486.566720175197","267556.938340268","0","176308.28516238","63464.7315269252","200986.230865316","924415.125569436","191247.831538467","1320019.63921054","0","3439.50395215564","110223.01596029","125550.749151652","517222.910357187","172026.585580835","3931905.80628716","1241063.68362798","1361853.82023202","205330.298855218","3101079.66737655","15874.2090117187","527961.034910169","572619.507805547","747434.641686337","327846.365701612","1587048.23306809","660645.637477079","1225063.79","180738.987657296","1186106.03939959"
"341/90","4352.55042132922","8705.66294521373","16792.742991291","19071.6078657832","9472.87553450167","2566.84859606903","3110.94989009073","3688.78005640896","2577.28569319379","2206.70791368803","9669.03100659081","3867.94720045229","11778.8454174805","1146.72248365544","2852.87938010879","667.521578125656","7936.6336448739","13164.7982153886","1973.44639104791","4082.32758588903","3306.98788963072","1912.68940487877","3104.77355131693","1914.63581175171","12051.8292745161","7108.49778468255","7424.02923903503","3284.54366473938","19535.6603133202","3842.31579956055","31657.8272246293","20169.7013787143","27216.6052607777","933.423331929371","19729.9994459376","3707.17131498549","2529.32198235719","18465.860619248","13839.4740640491"
"341.2/30","151043.250190355","90731.4803825419","117241.316562703","229662.604895219","13183.6308789062","0","101586.348479466","48551.9053613098","41755.5782085449","64385.6930007935","126489.205700005","0","301563.303223518","1314778.60724109","39563.3944970324","32597.7144550977","32214.7042963867","198487.343938908","760.512142998492","10942.5115556542","29451.7860473193","20344.5140332031","63283.0966194325","799948.199550037","34500.2577319336","190400.315684499","257780.146942453","691306.353672206","17944.8613835449","87523.3619894409","184389.357034912","193597.301179703","220016.343963488","1107375.21614551","262377.799714841","129054.406278072","520.819094545","77864.3284255979","293728.63367567"
"342.3/41","647309.906680584","322112.861843757","7487.13731869995","471800.084850383","381862.255836737","0","180452.036167559","72220.8747091405","0","112810.111822656","153414.542848832","0","46609.1675550248","291557.53098766","83275.2189511023","168951.97432629","145714.035254297","363161.123611973","0","0","125064.275502668","81814.3978754883","15169.2749237858","37354.3023903198","421217.600352969","252852.051814486","260039.441098315","361379.830669259","473361.469615072","70890.0290768032","546441.027417978","326156.53811693","941059.702139596","178725.553951286","872991.588886857","122783.105796054","0","182982.102395656","596277.603115734"
"343.2/52","69968.1845880244","67187.4027342538","44172.4050808416","3092900.47190294","155947.032143583","0","8105.65792438964","0","0","0","179228.747836597","0","17920.0513696289","151717.788309152","96231.5532939296","21411.259054686","13965.0501538877","382890.816126622","0","665.864405853557","76813.8468655395","34403.64198479","12512.9090898306","12065.5688934749","53231.7522739955","44260.6277696917","93638.3960793972","42094.750211792","67611.4704786352","2201.11527127187","130098.05426888","14177.7378255762","155696.889660344","40430.427276001","193941.2914438","27525.7561796875","0","48449.9253170535","983896.852366675"
"344.2/44","61633.7219143598","187685.000748906","86886.3377379159","3960468.3082575","709472.523838475","0","114448.323016305","561.127598304208","0","736.148685039487","79586.8082279731","0","55049.749585446","4157.33066070309","440146.561603164","44520.3772826102","114236.743011842","530507.356679783","692.061272155118","1735.0391554696","1711605.35013655","0","15338.2887725911","11413.7639257813","62105.9456281171","112860.638381822","148983.622364683","19486.1880756679","222182.299216641","13428.7927675781","165098.931096524","229865.314222102","236552.503718223","0","888513.085511078","157966.29048011","0","23268.6547125424","2368431.55224157"
"345.1/33","658667.412007102","404553.541858288","310626.138946939","428923.285949137","302349.258215832","0","250969.456135508","149002.059703249","90516.7355466736","464.406768638088","110487.301311173","0","6025.09659082031","563473.309722431","76565.192884554","324846.664443935","266958.01125","194650.454588068","0","19025.2365673934","116206.78803275","212678.018011961","28901.8018949028","155084.89590437","740865.098062947","435238.989544766","562845.679434482","288251.278277072","503419.988703076","480804.26715332","857935.651644667","778563.141489186","20014.30521854","403019.183446252","799524.207276677","265030.298633201","0","440783.794977744","789938.347648883"
"346.2/28","151909.01242622","76620.8412628656","63481.4380260212","80866.4890728225","48454.1281725103","0","39616.7193129842","21885.4845741856","20596.9149851408","0","23119.2008428982","0","59232.5531402475","99688.8007324162","11156.7465096468","78813.7021719422","43968.8096777344","45578.5961490272","0","1202.84717759253","0","35228.563519043","4325.1926310583","19560.6865560506","136482.170344502","64238.1388496161","123274.747472562","47763.6704528253","107784.35354473","87097.7221440972","146118.521394534","167683.421803956","205729.144740035","18022.1398320343","165048.781498848","43389.1559500387","0","80107.8994765846","165744.563195041"
"347.1/28","254935.716792256","154642.345051555","112090.713081613","162537.560470164","121634.314464925","0","89016.3427852661","59666.9421298558","0","20914.272983551","44609.8433046803","0","111308.258953109","181128.008750727","28861.0980411293","113859.500013338","76639.1211201172","67520.6815506238","0","5419.38442641855","12007.8652897135","21150.9466061543","9389.47423146176","111271.598458426","280009.917696737","168619.796188921","242234.318101815","144463.671270999","202076.294122282","150257.78788147","327261.900415973","265830.614936385","390603.31810878","149712.504264832","275636.470891009","82787.793214798","0","21858.5711677051","300322.733752942"
"348.2/78","3570.48158803885","1813.31977425842","5005.03537877401","0","0","0","0","0","0","0","0","0","14782.2261596426","0","0","3855.37861751793","1280.15209064633","0","0","0","8356.85665489258","0","0","0","10435.4791577148","11668.347850586","3633.35743113421","0","0","0","17368.5504058935","0","9681.33706220186","0","0","2028.24092315719","0","0","8229.80238802518"
"349.2/29","98454.6889667648","32278.2654947357","4097.10631164551","160620.575097039","683921.434212215","0","81449.0056180544","29789.4492105565","58529.5874244324","21550.0755151367","22311.1882301809","0","27921.4387298833","75379.8653515625","18570.8999267578","38460.4209301758","138624.73899375","50613.893060809","827.680271966441","0","41891.9863839286","111884.197533022","11981.0911005538","58205.2301740051","298231.07565169","96407.3867329359","960051.513992173","36890.7212160889","938940.265672739","289547.790854362","111466.833712486","47665.7140881009","97608.7717362205","236976.785312005","103714.466038011","24161.8609039295","332928.620625","181225.294972351","119343.943291798"
"351.2/41","44719.983804716","8165.41689744545","33514.7850911459","44610.6028066262","1626533.64179432","0","28343.8515010789","0","0","0","115263.387200772","0","14951.4035574777","26820.8512572477","34731.9196484685","68439.966605835","16695.2518789767","39032.4277546412","0","0","17532.4785331584","6413.71463919757","18609.630321039","8203.00374255372","56880.7666664551","5611.85215993579","36862.0355835732","5064.64005684465","17085.3433374024","4741.04774098389","13865.9068443778","10713.3442081304","19820.0764473749","202544.284597412","53378.37735557","8883.77698293386","0","9830.31487887835","27848.5996596529"
"353.2/47","95276.2995285102","45537.4637223168","12995.6904745483","439491.668708432","319608.242601559","0","825422.363637964","0","0","0","22268.8327334595","0","51459.157754975","27294.4535427019","143339.782468677","57849.3380566406","64664.7254208984","251352.734252489","0","1031.95848847041","17032.8427503015","16937.0057052844","72736.5101715317","10330.9318332094","17342.5318281689","58300.8548402848","74727.2022264121","49184.6208081665","19940.0298667774","9372.59236856946","71352.23121724","579284.991938889","83472.5294394186","294400.705053935","927175.958101565","341565.637456055","0","4669.74279923737","303789.347167065"
"356.1/45","2030.40523179313","2162.45455810446","1505.49874398038","5524.86404123157","0","0","0","0","0","596.002873764024","0","0","5109.19197723363","25377.3578270953","0","721.42446726483","0","0","0","0","10031.6661952017","0","684.547986742109","0","0","2227.72035316331","0","11494.0865927734","0","0","117886.947406043","65492.9013592377","63678.0233423015","385542.355675307","85777.9714241311","156633.145670752","0","65255.0063500048","10753.1684426032"
"361.2/31","2165959.57174996","1285861.6297103","784419.094232636","2213865.47283835","1517542.18152512","0","177419.366551578","281347.318061778","37089.3609849411","0","1074336.50349694","0","268009.078351725","167981.511258621","791720.82241907","28922.4753112793","1025947.12298584","1777337.07864237","0","39145.1687787089","63213.7382032122","34062.5203417969","221801.559888328","180027.154906901","21975.3164805908","1026583.6568049","2060428.06758043","1110953.70068645","2375377.8430278","49935.3935219447","2047249.30340179","1709275.55761634","3142401.0337117","364830.233617323","2074836.24829478","302950.946499603","73515.6339865723","211531.439588183","1651457.24545629"
"362.3/38","400135.122198735","179718.885008157","115276.797253425","1364938.27293625","1476329.41951241","0","431198.527668306","199831.872785211","0","0","1198178.82200165","0","994882.933289677","173042.446338867","265925.238269983","114096.208002962","188464.446232125","83610.3385936087","0","1497.62131208573","797692.78536438","37286.6138076172","4278.06591287474","43684.1719603516","249833.604244096","175166.459456824","123133.542720502","321650.515317847","211124.82330726","87213.6116909397","263361.39353241","206723.494304091","21206.87140625","635451.02559082","2986410.00824504","765475.645674024","0","24925.2896484375","5619721.81257184"
"363.2/54","64727.6353289062","122335.609714001","103413.724849272","154845.312499681","14844.3835460002","0","79054.1788451843","0","0","0","58618.8222179879","0","16307.6246536691","28279.5247389501","35579.9064197251","84271.0449761963","36214.9910595703","144538.370409082","0","3041.04282832796","434795.47676239","19524.8114638567","13682.2086791217","8117.45978881835","84070.7021667248","57699.602186814","99445.5880828455","9459.16130200195","26238.1983842774","68437.1907019043","127766.035616084","127739.693986922","141074.334916496","33861.2206358608","98537.9560181964","7376.91961212158","0","59427.0920203403","335354.236089382"
