"","ColTer331_1","ColTer331_2","ColTer331_3","JantAD80_1","JantAD80_2","JantAD80_3","PaenAD87_1","PaenAD87_2","PaenAD87_3","PsAD210_1","PsAD210_2","PsAD210_3","SerratiaPRI_1","SerratiaPRI_2","SerratiaPRI_3"
"group","ColTer331","ColTer331","ColTer331","JantAD80","JantAD80","JantAD80","PaenAD87","PaenAD87","PaenAD87","PsAD210","PsAD210","PsAD210","SerratiaPRI","SerratiaPRI","SerratiaPRI"
"299.1/79","487089.001743862","586820.717114258","96576.9446729295","1107360.57003647","1099799.91016188","1815830.22487679","690305.765288544","522336.858018816","2584232.59135485","795013.799054531","483945.129379686","346881.637265625","1094798.91042112","642578.297859377","128785.695836328"
"300.2/36","60676.0331243793","222754.417707118","61963.0597180698","241959.821776993","316794.562670987","111336.469367104","74306.8973819415","21778.8373036707","170870.857735856","181478.767229459","42699.1536854093","83210.8109310716","59070.760381939","41921.7941952348","113519.783828739"
"300.3/51","586375.174507002","20632237.1864215","377187.130321578","7301036.62590281","7689262.39389628","1609161.71854222","595728.097563277","254436.861448217","9533841.32097035","4813642.98869192","10851.425339034","4358583.33139323","1606256.85721279","31478.5928046875","947596.134681172"
"301.2/103","757.555063936859","0","15131.6029938143","116578.298302187","0","531.647012799978","18947.3686681241","0","0","15262.2197234233","141174.949036459","0","304887.811810826","3140.96628620227","30787.2059501953"
"306.2/29","4032.08709021658","0","27372.5978333044","41096.6046419144","122697.368269629","102629.620069922","63093.384679194","25826.3621649726","0","0","7431.90770599975","13007.6150408004","0","6732.76186145736","0"
"309.1/5","718620.408506764","2423674.49963358","7558896.16471592","1005580.22629698","2463296.37144181","1390897.14555447","3526340.21868549","3237037.41169388","1402438.41082933","95395.4118690594","9939.18222917073","183535.283339844","3275027.46219847","294598.793739393","5406941.17105078"
"315.1/52","2819.36741276085","0","150681.117421875","230181.648230851","299580.290791381","90962.9845525816","373521.488123781","14044.8256106221","291403.64317463","95341.4170767188","18673.7537642497","260062.367119011","70523.8453766392","60059.7913346041","66706.1899445068"
"331.2/49","5498.2589676911","146804.597048326","68032.680505789","160299.284189982","362202.082136795","97119.671983848","105215.745496877","20189.1367624387","103018.992389762","156649.640464872","10131.3990772476","313713.001629729","104587.142207031","71855.8362031598","27304.5059335049"
"334.2/56","3504.23142003144","22955.4147588781","24394.260983424","0","67492.7464629511","6025.59729931929","19172.8978981823","3756.71771904609","0","42266.4284358422","11122.5244453939","77447.2685299516","9119.60988464356","10149.7134055942","38384.0002658536"
"335.3/70","2514.1312799009","0","34807.3068021224","48907.2906528125","186809.773382682","0","96815.0842894207","14020.0383513495","0","17252.4704812467","7538.64240021483","0","35297.2225761717","18967.5088845649","29845.3517037381"
